Week Ending Date,Metric,Category,Waiting Bands,Count
21/11/2021,Age,19-64 Years,01 To 18 Weeks,1888660
21/11/2021,Age,19-64 Years,18 To 52 Weeks,996925
21/11/2021,Age,19-64 Years,Over 52 Weeks,184235
21/11/2021,Age,19-64 Years,Total,3079580
21/11/2021,Age,Over 65 Years,Unknown Clock Start,5630
21/11/2021,Age,Over 65 Years,01 To 18 Weeks,1196005
21/11/2021,Age,Over 65 Years,18 To 52 Weeks,539265
21/11/2021,Age,Over 65 Years,Over 52 Weeks,97000
21/11/2021,Age,Over 65 Years,Total,1837905
21/11/2021,Sex,Female,Unknown Clock Start,9605
21/11/2021,Sex,Female,01 To 18 Weeks,1939600
21/11/2021,Sex,Female,18 To 52 Weeks,947950
21/11/2021,Sex,Female,Over 52 Weeks,163330
21/11/2021,Sex,Female,Total,3060485
21/11/2021,Sex,Male,Unknown Clock Start,6475
21/11/2021,Sex,Male,01 To 18 Weeks,1483960
21/11/2021,Sex,Male,18 To 52 Weeks,722420
21/11/2021,Sex,Male,Over 52 Weeks,135630
21/11/2021,Sex,Male,Total,2348480
28/11/2021,Age,0-18 Years,Unknown Clock Start,840
28/11/2021,Age,0-18 Years,01 To 18 Weeks,407810
28/11/2021,Age,0-18 Years,18 To 52 Weeks,186535
28/11/2021,Age,0-18 Years,Over 52 Weeks,26775
28/11/2021,Age,0-18 Years,Total,621965
28/11/2021,Age,19-64 Years,Unknown Clock Start,9550
28/11/2021,Age,19-64 Years,01 To 18 Weeks,1862670
28/11/2021,Age,19-64 Years,18 To 52 Weeks,979635
28/11/2021,Age,19-64 Years,Over 52 Weeks,180005
28/11/2021,Age,19-64 Years,Total,3031860
28/11/2021,Age,Over 65 Years,Unknown Clock Start,5525
28/11/2021,Age,Over 65 Years,01 To 18 Weeks,1177140
28/11/2021,Age,Over 65 Years,18 To 52 Weeks,532000
28/11/2021,Age,Over 65 Years,Over 52 Weeks,95455
28/11/2021,Age,Over 65 Years,Total,1810120
28/11/2021,Sex,Female,Unknown Clock Start,9550
28/11/2021,Sex,Female,01 To 18 Weeks,1906720
28/11/2021,Sex,Female,18 To 52 Weeks,931185
28/11/2021,Sex,Female,Over 52 Weeks,159960
28/11/2021,Sex,Female,Total,3007420
28/11/2021,Sex,Male,Unknown Clock Start,6210
28/11/2021,Sex,Male,01 To 18 Weeks,1460465
28/11/2021,Sex,Male,18 To 52 Weeks,708715
28/11/2021,Sex,Male,Over 52 Weeks,132590
28/11/2021,Sex,Male,Total,2307985
05/12/2021,Age,0-18 Years,Unknown Clock Start,885
05/12/2021,Age,0-18 Years,01 To 18 Weeks,411475
05/12/2021,Age,0-18 Years,18 To 52 Weeks,186325
05/12/2021,Age,0-18 Years,Over 52 Weeks,26985
05/12/2021,Age,0-18 Years,Total,625670
05/12/2021,Age,19-64 Years,Unknown Clock Start,9920
05/12/2021,Age,19-64 Years,01 To 18 Weeks,1889265
05/12/2021,Age,19-64 Years,18 To 52 Weeks,999880
05/12/2021,Age,19-64 Years,Over 52 Weeks,185730
05/12/2021,Age,19-64 Years,Total,3084795
05/12/2021,Age,Over 65 Years,Unknown Clock Start,5790
05/12/2021,Age,Over 65 Years,01 To 18 Weeks,1190950
05/12/2021,Age,Over 65 Years,18 To 52 Weeks,545260
05/12/2021,Age,Over 65 Years,Over 52 Weeks,97570
05/12/2021,Age,Over 65 Years,Total,1839575
05/12/2021,Sex,Female,Unknown Clock Start,9660
05/12/2021,Sex,Female,01 To 18 Weeks,1926035
05/12/2021,Sex,Female,18 To 52 Weeks,948370
05/12/2021,Sex,Female,Over 52 Weeks,164330
05/12/2021,Sex,Female,Total,3048395
05/12/2021,Sex,Male,Unknown Clock Start,6585
05/12/2021,Sex,Male,01 To 18 Weeks,1480395
05/12/2021,Sex,Male,18 To 52 Weeks,723720
05/12/2021,Sex,Male,Over 52 Weeks,136105
05/12/2021,Sex,Male,Total,2346805
12/12/2021,Age,0-18 Years,Unknown Clock Start,545
12/12/2021,Age,0-18 Years,01 To 18 Weeks,411950
12/12/2021,Age,0-18 Years,18 To 52 Weeks,186680
12/12/2021,Age,0-18 Years,Over 52 Weeks,26630
12/12/2021,Age,0-18 Years,Total,625800
12/12/2021,Age,19-64 Years,Unknown Clock Start,8370
12/12/2021,Age,19-64 Years,01 To 18 Weeks,1881535
12/12/2021,Age,19-64 Years,18 To 52 Weeks,1000990
12/12/2021,Age,19-64 Years,Over 52 Weeks,187020
12/12/2021,Age,19-64 Years,Total,3077920
12/12/2021,Age,Over 65 Years,Unknown Clock Start,4900
12/12/2021,Age,Over 65 Years,01 To 18 Weeks,1184080
12/12/2021,Age,Over 65 Years,18 To 52 Weeks,549080
12/12/2021,Age,Over 65 Years,Over 52 Weeks,97795
12/12/2021,Age,Over 65 Years,Total,1835855
12/12/2021,Sex,Female,Unknown Clock Start,8210
12/12/2021,Sex,Female,01 To 18 Weeks,1919745
12/12/2021,Sex,Female,18 To 52 Weeks,952600
12/12/2021,Sex,Female,Over 52 Weeks,165540
12/12/2021,Sex,Female,Total,3046095
12/12/2021,Sex,Male,Unknown Clock Start,5425
12/12/2021,Sex,Male,01 To 18 Weeks,1476575
12/12/2021,Sex,Male,18 To 52 Weeks,726355
12/12/2021,Sex,Male,Over 52 Weeks,135815
12/12/2021,Sex,Male,Total,2344170
19/12/2021,Age,0-18 Years,Unknown Clock Start,680
19/12/2021,Age,0-18 Years,01 To 18 Weeks,423175
19/12/2021,Age,0-18 Years,18 To 52 Weeks,189050
19/12/2021,Age,0-18 Years,Over 52 Weeks,27095
19/12/2021,Age,0-18 Years,Total,640000
19/12/2021,Age,19-64 Years,Unknown Clock Start,9090
19/12/2021,Age,19-64 Years,01 To 18 Weeks,1921765
