Code,Name,Geography,Metric,Category,Waiting Bands,Count
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,01 To 18 Weeks,15
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,18 To 52 Weeks,*
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,E: White and Black African,Total,20
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,01 To 18 Weeks,25
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,18 To 52 Weeks,10
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,F: White and Asian,Total,30
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,01 To 18 Weeks,30
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,18 To 52 Weeks,20
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,G: Any other mixed background,Total,50
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,01 To 18 Weeks,70
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,H: Indian,18 To 52 Weeks,25
