Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,01 To 18 Weeks,159335
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,18 To 52 Weeks,52930
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Over 52 Weeks,2270
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Total,216520
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Unknown Clock Start,1195
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,01 To 18 Weeks,124290
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,18 To 52 Weeks,28380
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Over 52 Weeks,1065
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Total,154930
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Unknown Clock Start,30
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,01 To 18 Weeks,6515
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,18 To 52 Weeks,1955
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Over 52 Weeks,115
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Total,8620
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Unknown Clock Start,2710
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,01 To 18 Weeks,212975
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,18 To 52 Weeks,62470
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Over 52 Weeks,2445
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Total,280600
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,01 To 18 Weeks,1450
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,18 To 52 Weeks,400
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Over 52 Weeks,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Total,1885
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Unknown Clock Start,125
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,01 To 18 Weeks,15260
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,18 To 52 Weeks,4035
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Over 52 Weeks,175
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Total,19595
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,765
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,255
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Total,1030
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,01 To 18 Weeks,390
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,18 To 52 Weeks,130
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Total,530
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,01 To 18 Weeks,600
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,18 To 52 Weeks,165
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Total,775
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1410
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,18 To 52 Weeks,425
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Total,1865
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,01 To 18 Weeks,6510
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,18 To 52 Weeks,1630
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Over 52 Weeks,55
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Total,8205
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,01 To 18 Weeks,5755
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,18 To 52 Weeks,2050
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Over 52 Weeks,105
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Total,7930
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,01 To 18 Weeks,2095
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,18 To 52 Weeks,835
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Over 52 Weeks,85
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Total,3020
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,01 To 18 Weeks,4690
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,18 To 52 Weeks,1240
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Over 52 Weeks,35
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Total,5990
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,01 To 18 Weeks,2440
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,18 To 52 Weeks,625
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Over 52 Weeks,30
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Total,3100
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,01 To 18 Weeks,3930
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,18 To 52 Weeks,960
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Over 52 Weeks,40
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Total,4945
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,01 To 18 Weeks,1685
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,18 To 52 Weeks,450
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Over 52 Weeks,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Total,2170
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,01 To 18 Weeks,930
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,18 To 52 Weeks,230
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Total,1175
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,1660
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,395
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Over 52 Weeks,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Total,2090
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Unknown Clock Start,190
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,01 To 18 Weeks,18065
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,18 To 52 Weeks,4100
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Over 52 Weeks,200
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Total,22560
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Unknown Clock Start,330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,01 To 18 Weeks,22065
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,18 To 52 Weeks,6840
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Over 52 Weeks,405
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Total,29640
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Unknown Clock Start,110
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,01 To 18 Weeks,31670
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,18 To 52 Weeks,8610
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Over 52 Weeks,275
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Total,40665
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Unknown Clock Start,335
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,01 To 18 Weeks,23750
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,18 To 52 Weeks,6850
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Over 52 Weeks,350
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Total,31285
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Unknown Clock Start,260
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,01 To 18 Weeks,25645
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,18 To 52 Weeks,7405
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Over 52 Weeks,365
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Total,33675
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Unknown Clock Start,405
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,01 To 18 Weeks,26700
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,18 To 52 Weeks,7360
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Over 52 Weeks,325
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Total,34785
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Unknown Clock Start,475
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,01 To 18 Weeks,27560
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,18 To 52 Weeks,7800
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Over 52 Weeks,325
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Total,36155
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Unknown Clock Start,330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,01 To 18 Weeks,30075
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,18 To 52 Weeks,8610
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Over 52 Weeks,330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Total,39340
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Unknown Clock Start,425
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,01 To 18 Weeks,30625
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,18 To 52 Weeks,8850
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Over 52 Weeks,330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Total,40230
